ID,NombreEmpleado,Departamento,Cargo,SalarioBase,HorasExtra,OtrosPagos,Beneficios,SalarioTotal,SalarioTotalConBeneficios,Año,Notas,Oficina,TipoContrato,Sexo
32226,Alberto Andres Rojas Suarez,Logistica,Gestor de Flota,866,1262,35,750,2163,2913,2025,,Centros de Distribucion,Full-Time,masculino
32227,Gabriela Natalia Sanchez Castro,Comercial / Ventas,Key Account Manager,3027,876,642,709,4545,5254,2025,,Oficinas Administrativas,,femenino
32228,Andrea Carmen Diaz Diaz,Tecnologia (Tech),Analista de Datos,1375,735,227,1208,2337,3545,2025,,Centros de Distribucion,Part-Time,femenino
32229,Hugo Carlos Lopez Sanchez,Finanzas,Controller Financiero,3137,553,286,1417,3976,5393,2025,,Centros de Distribucion,Full-Time,masculino
32230,Mario Julio Torres Mendoza,People (RRHH),Reclutador (Trainee),4050,547,51,708,4648,5356,2025,,Centros de Distribucion,Part-Time,masculino
32231,Gabriela Lucia Suarez Lopez,Comercial / Ventas,Key Account Manager,2570,851,123,995,3544,4539,2025,,Planta Industrial,Full-Time,femenino
32232,Jorge Pedro Perez Lopez,Operaciones (Supply),Analista de Calidad,2249,740,219,1444,3208,4652,2025,,Planta Industrial,Part-Time,masculino
32233,Lucia Valentina Martinez Delgado,Operaciones (Supply),Maestro Cervecero,1646,941,335,732,2922,3654,2025,,Planta Industrial,Full-Time,femenino
32234,Elena Veronica Sanchez Rojas,Marketing,Trade Marketing,3142,337,618,1084,4097,5181,2025,,Oficina Regional,Full-Time,femenino
32235,Fernando Julio Garcia Perez,Logistica,Planificador de Demanda,1051,1260,537,572,2848,3420,2025,,Planta Industrial,,masculino
32236,Ricardo Hugo Ramirez Sanchez,Marketing,Trade Marketing,4062,1110,829,740,6001,6741,2025,,Centros de Distribucion,,masculino
32237,Mario Pedro Vargas Torres,People (RRHH),Reclutador (Trainee),1486,1238,618,1261,3342,4603,2025,,Planta Industrial,Part-Time,masculino
32238,Sofia Laura Ramirez Diaz,Comercial / Ventas,Preventista (BEES),1685,1291,905,,3881,3881,2025,,Centros de Distribucion,Part-Time,femenino
32239,Silvia Ana Delgado Ortega,Logistica,Gestor de Flota,4102,578,632,769,5312,6081,2025,,Planta Industrial,Part-Time,femenino
32240,Camila Paula Herrera Ramirez,Comercial / Ventas,Preventista (BEES),1337,1047,707,550,3091,3641,2025,,Planta Industrial,Part-Time,femenino
32241,Miguel Alberto Martinez Ortega,Comercial / Ventas,Key Account Manager,3533,1205,758,957,5496,6453,2025,,Planta Industrial (Matriz),Part-Time,masculino
32242,Camila Veronica Ortega Flores,Marketing,Trade Marketing,872,786,521,611,2179,2790,2025,,Oficina Regional,Full-Time,femenino
32243,Alberto Alberto Garcia Lopez,Marketing,Trade Marketing,4297,338,219,732,4854,5586,2025,,Planta Industrial (Matriz),Full-Time,masculino
32244,Valentina Carmen Gonzalez Rodriguez,Marketing,Trade Marketing,882,697,466,1158,2045,3203,2025,,Planta Industrial,,femenino
32245,Luis Alberto Garcia Flores,Marketing,Trade Marketing,3063,1466,405,1185,4934,6119,2025,,Planta Industrial,Part-Time,masculino
32246,Mario Julio Vargas Vargas,Comercial / Ventas,Key Account Manager,2434,561,384,1291,3379,4670,2025,,Planta Industrial,Part-Time,masculino
32247,Ricardo Sergio Flores Gonzalez,People (RRHH),Reclutador (Trainee),2670,1258,638,1447,4566,6013,2025,,Oficinas Administrativas,Part-Time,masculino
32248,Juan Julio Rojas Suarez,Operaciones (Supply),Operador de Envasado,4637,1227,536,1241,6400,7641,2025,,Oficinas Administrativas,,masculino
32249,Diego Luis Lopez Delgado,Operaciones (Supply),Maestro Cervecero,4627,459,342,1481,5428,6909,2025,,Centros de Distribucion,Full-Time,masculino
32250,Laura Ana Castro Flores,Tecnologia (Tech),Analista de Datos,816,674,747,616,2237,2853,2025,,Centros de Distribucion,,femenino
32251,Gabriela Carmen Garcia Suarez,People (RRHH),Reclutador (Trainee),909,504,213,700,1626,2326,2025,,Oficinas Administrativas,Full-Time,femenino
32252,Pedro Miguel Vargas Suarez,Tecnologia (Tech),Analista de Datos,4326,543,259,1223,5128,6351,2025,,Planta Industrial (Matriz),Part-Time,masculino
32253,Ana Maria Delgado Diaz,Comercial / Ventas,Key Account Manager,4477,546,943,1273,5966,7239,2025,,Oficina Regional,Part-Time,femenino
32254,Elena Laura Castro Rojas,Operaciones (Supply),Operador de Envasado,3208,978,580,886,4766,5652,2025,,Planta Industrial,Part-Time,femenino
32255,Mario Miguel Rojas Garcia,Marketing,Brand Manager,2019,1160,638,264,3817,4081,2025,,Planta Industrial,,masculino
32256,Veronica Ana Vargas Sanchez,Tecnologia (Tech),Analista de Datos,2619,1075,977,377,4671,5048,2025,,Oficinas Administrativas,Part-Time,femenino
32257,Julio Jorge Rodriguez Diaz,Logistica,Gestor de Flota,3810,681,175,767,4666,5433,2025,,Oficina Regional,Full-Time,masculino
32258,Veronica Silvia Flores Morales,Operaciones (Supply),Operador de Envasado,3443,125,62,419,3630,4049,2025,,Oficina Regional,Full-Time,femenino
32259,Rafael Eduardo Lopez Diaz,Operaciones (Supply),Maestro Cervecero,3145,967,484,865,4596,5461,2025,,Oficina Regional,Part-Time,masculino
32260,Diego Hugo Rodriguez Rodriguez,People (RRHH),Reclutador (Trainee),1679,1296,422,1060,3397,4457,2025,,Oficinas Administrativas,Full-Time,masculino
32261,Andrea Carmen Perez Martinez,Logistica,Gestor de Flota,4564,788,478,1071,5830,6901,2025,,Planta Industrial (Matriz),Full-Time,femenino
32262,Luis Hugo Mendoza Flores,Comercial / Ventas,Key Account Manager,4793,1089,75,1096,5957,7053,2025,,Oficina Regional,Part-Time,masculino
32263,Sergio Rafael Lopez Rojas,Comercial / Ventas,Key Account Manager,3401,1305,3,262,4709,4971,2025,,Planta Industrial,Part-Time,masculino
32264,Juan Sergio Suarez Castro,People (RRHH),Reclutador (Trainee),1531,1028,353,631,2912,3543,2025,,Planta Industrial (Matriz),Full-Time,masculino
32265,Rafael Sergio Perez Rojas,Comercial / Ventas,Preventista (BEES),1866,754,952,605,3572,4177,2025,,Planta Industrial (Matriz),,masculino
32266,Sergio Fernando Lopez Lopez,People (RRHH),Business Partner,4988,560,456,265,6004,6269,2025,,Planta Industrial (Matriz),Full-Time,masculino
32267,Laura Rosa Sanchez Perez,Operaciones (Supply),Analista de Calidad,3660,917,17,1390,4594,5984,2025,,Planta Industrial,Full-Time,femenino
32268,Sofia Patricia Garcia Perez,Operaciones (Supply),Analista de Calidad,2161,491,655,,3307,3307,2025,,Oficinas Administrativas,Part-Time,femenino
32269,Raul Miguel Ramirez Martinez,Operaciones (Supply),Operador de Envasado,3345,1201,638,1320,5184,6504,2025,,Oficinas Administrativas,Full-Time,masculino
32270,Miguel Mario Ramirez Martinez,Operaciones (Supply),Operador de Envasado,1120,931,789,1040,2840,3880,2025,,Oficinas Administrativas,Part-Time,masculino
32271,Juan Miguel Rojas Rojas,Tecnologia (Tech),Analista de Datos,1202,478,86,1114,1766,2880,2025,,Centros de Distribucion,,masculino
32272,Carlos Julio Castro Lopez,Logistica,Gestor de Flota,2913,1156,736,925,4805,5730,2025,,Oficinas Administrativas,,masculino
32273,Pedro Sergio Delgado Lopez,Operaciones (Supply),Operador de Envasado,1611,648,81,1170,2340,3510,2025,,Centros de Distribucion,Full-Time,masculino
32274,Victor Jorge Rodriguez Diaz,Tecnologia (Tech),Analista de Datos,1295,1050,485,1464,2830,4294,2025,,Planta Industrial,Full-Time,masculino
32275,Maria Rosa Gonzalez Sanchez,Marketing,Trade Marketing,1041,866,238,411,2145,2556,2025,,Oficina Regional,Full-Time,femenino
32276,Jorge Alberto Diaz Torres,Sostenibilidad,Coordinador de Agro,1511,726,873,682,3110,3792,2025,,Centros de Distribucion,,masculino
32277,Luis Juan Garcia Rojas,Operaciones (Supply),Operador de Envasado,4998,736,620,466,6354,6820,2025,,Oficinas Administrativas,Full-Time,masculino
32278,Carmen Rosa Mendoza Martinez,Sostenibilidad,Coordinador de Agro,3611,1407,321,1089,5339,6428,2025,,Planta Industrial (Matriz),Full-Time,femenino
32279,Paula Lucia Sanchez Sanchez,People (RRHH),Business Partner,4853,344,310,1039,5507,6546,2025,,Oficina Regional,Part-Time,femenino
32280,Jose Luis Vargas Morales,Finanzas,Controller Financiero,2503,751,584,1341,3838,5179,2025,,Planta Industrial,Part-Time,masculino
32281,Carmen Ana Torres Delgado,Operaciones (Supply),Operador de Envasado,4873,865,523,1105,6261,7366,2025,,Planta Industrial,Part-Time,femenino
32282,Ricardo Victor Flores Torres,Logistica,Planificador de Demanda,1140,1095,808,683,3043,3726,2025,,Centros de Distribucion,Full-Time,masculino
32283,Rafael Miguel Lopez Rojas,Operaciones (Supply),Analista de Calidad,3608,1470,531,1080,5609,6689,2025,,Planta Industrial (Matriz),Part-Time,masculino
32284,Valentina Rosa Martinez Ortega,Logistica,Gestor de Flota,1197,611,775,524,2583,3107,2025,,Centros de Distribucion,Full-Time,femenino
32285,Rosa Daniela Martinez Perez,Sostenibilidad,Coordinador de Agro,4832,1331,913,207,7076,7283,2025,,Oficina Regional,Part-Time,femenino
32286,Luis Mario Suarez Garcia,Operaciones (Supply),Analista de Calidad,3296,710,999,923,5005,5928,2025,,Oficina Regional,Part-Time,masculino
32287,Monica Sofia Lopez Rodriguez,Sostenibilidad,Coordinador de Agro,2143,442,13,790,2598,3388,2025,,Oficina Regional,Full-Time,femenino
32288,Eduardo Miguel Mendoza Morales,Marketing,Trade Marketing,3479,835,306,1120,4620,5740,2025,,Oficinas Administrativas,Full-Time,masculino
32289,Sofia Camila Herrera Rojas,People (RRHH),Business Partner,4564,642,426,945,5632,6577,2025,,Oficina Regional,Part-Time,femenino
32290,Laura Veronica Gonzalez Suarez,Sostenibilidad,Coordinador de Agro,3148,1240,744,717,5132,5849,2025,,Planta Industrial (Matriz),Full-Time,femenino
32291,Rosa Lucia Lopez Herrera,Operaciones (Supply),Maestro Cervecero,4588,1130,768,794,6486,7280,2025,,Planta Industrial (Matriz),Part-Time,femenino
32292,Raul Jose Flores Garcia,Comercial / Ventas,Key Account Manager,1079,392,140,455,1611,2066,2025,,Oficina Regional,Full-Time,masculino
32293,Pedro Hugo Castro Mendoza,Operaciones (Supply),Analista de Calidad,3980,522,708,551,5210,5761,2025,,Planta Industrial,Full-Time,masculino
32294,Luis Luis Morales Morales,Comercial / Ventas,Key Account Manager,4241,299,375,326,4915,5241,2025,,Centros de Distribucion,Full-Time,masculino
32295,Jorge Eduardo Sanchez Flores,People (RRHH),Business Partner,1671,615,261,490,2547,3037,2025,,Planta Industrial (Matriz),Full-Time,masculino
32296,Diego Carlos Rodriguez Ortega,People (RRHH),Reclutador (Trainee),4184,123,277,,4584,4584,2025,,Oficina Regional,Part-Time,masculino
32297,Maria Gabriela Suarez Morales,Sostenibilidad,Coordinador de Agro,3580,718,774,1442,5072,6514,2025,,Planta Industrial,Part-Time,femenino
32298,Patricia Claudia Mendoza Diaz,People (RRHH),Reclutador (Trainee),3111,931,643,610,4685,5295,2025,,Planta Industrial,,femenino
32299,Daniela Camila Diaz Flores,People (RRHH),Business Partner,4659,1320,521,774,6500,7274,2025,,Planta Industrial (Matriz),,femenino
32300,Paula Paula Gonzalez Perez,People (RRHH),Business Partner,3248,249,347,836,3844,4680,2025,,Planta Industrial (Matriz),Full-Time,femenino
32301,Gabriela Camila Sanchez Lopez,Operaciones (Supply),Operador de Envasado,4993,735,162,264,5890,6154,2025,,Oficinas Administrativas,Part-Time,femenino
32302,Ricardo Juan Castro Martinez,Operaciones (Supply),Operador de Envasado,3465,760,269,,4494,4494,2025,,Oficina Regional,Full-Time,masculino
32303,Claudia Camila Castro Sanchez,Tecnologia (Tech),Analista de Datos,1901,795,298,,2994,2994,2025,,Planta Industrial,Part-Time,femenino
32304,Rosa Camila Herrera Castro,Operaciones (Supply),Maestro Cervecero,3753,268,261,1264,4282,5546,2025,,Oficinas Administrativas,Full-Time,femenino
32305,Camila Daniela Diaz Torres,Marketing,Trade Marketing,1236,905,471,472,2612,3084,2025,,Oficinas Administrativas,Full-Time,femenino
32306,Andrea Camila Rodriguez Diaz,Comercial / Ventas,Preventista (BEES),4275,165,678,1194,5118,6312,2025,,Oficinas Administrativas,Part-Time,femenino
32307,Raul Raul Torres Perez,Marketing,Brand Manager,4091,294,162,1460,4547,6007,2025,,Oficina Regional,Part-Time,masculino
32308,Paula Veronica Perez Vargas,Operaciones (Supply),Maestro Cervecero,2710,897,279,977,3886,4863,2025,,Oficinas Administrativas,,femenino
32309,Ricardo Raul Morales Vargas,Tecnologia (Tech),Analista de Datos,1299,234,774,1112,2307,3419,2025,,Planta Industrial (Matriz),,masculino
32310,Laura Maria Ramirez Vargas,People (RRHH),Business Partner,3650,619,561,772,4830,5602,2025,,Planta Industrial (Matriz),Part-Time,femenino
32311,Gabriela Patricia Lopez Vargas,Finanzas,Controller Financiero,3000,348,448,,3796,3796,2025,,Planta Industrial (Matriz),,femenino
32312,Eduardo Ricardo Lopez Ortega,People (RRHH),Business Partner,1541,337,825,1065,2703,3768,2025,,Planta Industrial,Full-Time,masculino
32313,Elena Claudia Delgado Castro,People (RRHH),Reclutador (Trainee),4415,1037,653,321,6105,6426,2025,,Planta Industrial,Part-Time,femenino
32314,Victor Eduardo Perez Sanchez,People (RRHH),Reclutador (Trainee),1098,1498,981,845,3577,4422,2025,,Oficina Regional,Part-Time,masculino
32315,Monica Valentina Ramirez Martinez,Logistica,Planificador de Demanda,3339,502,28,622,3869,4491,2025,,Oficina Regional,,femenino
32316,Juan Pedro Gonzalez Herrera,Finanzas,Controller Financiero,3349,355,459,941,4163,5104,2025,,Oficina Regional,Full-Time,masculino
32317,Rosa Valentina Castro Castro,Comercial / Ventas,Preventista (BEES),3004,343,10,709,3357,4066,2025,,Planta Industrial,,femenino
32318,Andrea Lucia Garcia Torres,People (RRHH),Reclutador (Trainee),1988,742,4,1208,2734,3942,2025,,Planta Industrial,Part-Time,femenino
32319,Victor Jose Castro Delgado,Operaciones (Supply),Operador de Envasado,1139,1150,55,1433,2344,3777,2025,,Oficina Regional,Full-Time,masculino
32320,Silvia Patricia Rodriguez Martinez,Operaciones (Supply),Analista de Calidad,1776,1266,608,952,3650,4602,2025,,Oficina Regional,Part-Time,femenino
32321,Juan Fernando Herrera Rojas,People (RRHH),Business Partner,1331,856,118,489,2305,2794,2025,,Oficinas Administrativas,Full-Time,masculino
32322,Pedro Carlos Sanchez Vargas,Operaciones (Supply),Analista de Calidad,2924,1045,650,874,4619,5493,2025,,Oficinas Administrativas,Part-Time,masculino
32323,Mario Hugo Rodriguez Perez,Comercial / Ventas,Preventista (BEES),3881,1452,814,1326,6147,7473,2025,,Planta Industrial,,masculino
32324,Silvia Sofia Rodriguez Rojas,Operaciones (Supply),Operador de Envasado,1563,469,569,219,2601,2820,2025,,Centros de Distribucion,Part-Time,femenino
32325,Sergio Juan Rodriguez Torres,Comercial / Ventas,Key Account Manager,4611,1150,112,909,5873,6782,2025,,Oficina Regional,Full-Time,masculino
32326,Natalia Rosa Morales Perez,Logistica,Planificador de Demanda,2485,847,850,870,4182,5052,2025,,Centros de Distribucion,Full-Time,femenino
32327,Julio Rafael Diaz Ramirez,Finanzas,Controller Financiero,1309,560,878,847,2747,3594,2025,,Centros de Distribucion,Part-Time,masculino
32328,Natalia Veronica Mendoza Morales,Logistica,Planificador de Demanda,3846,794,723,437,5363,5800,2025,,Oficinas Administrativas,Full-Time,femenino
32329,Veronica Carmen Diaz Ramirez,Finanzas,Controller Financiero,2600,1275,269,658,4144,4802,2025,,Centros de Distribucion,Full-Time,femenino
32330,Patricia Lucia Mendoza Ramirez,Operaciones (Supply),Analista de Calidad,4251,441,432,1156,5124,6280,2025,,Planta Industrial,Part-Time,femenino
32331,Andrea Sofia Martinez Mendoza,Marketing,Trade Marketing,2698,1278,152,749,4128,4877,2025,,Oficina Regional,Full-Time,femenino
32332,Victor Eduardo Castro Vargas,Marketing,Brand Manager,4262,532,81,256,4875,5131,2025,,Oficina Regional,Full-Time,masculino
32333,Elena Carmen Diaz Garcia,Logistica,Planificador de Demanda,2522,599,810,1047,3931,4978,2025,,Oficinas Administrativas,Part-Time,femenino
32334,Rafael Fernando Morales Ortega,Marketing,Trade Marketing,2880,288,875,494,4043,4537,2025,,Oficinas Administrativas,Part-Time,masculino
32335,Patricia Maria Rodriguez Delgado,Comercial / Ventas,Preventista (BEES),3206,748,648,1419,4602,6021,2025,,Planta Industrial,Part-Time,femenino
32336,Jorge Raul Sanchez Castro,Comercial / Ventas,Key Account Manager,3194,938,502,229,4634,4863,2025,,Oficinas Administrativas,Full-Time,masculino
32337,Silvia Lucia Ortega Castro,Logistica,Gestor de Flota,1915,1317,937,,4169,4169,2025,,Planta Industrial,Part-Time,femenino
32338,Alberto Julio Morales Martinez,Comercial / Ventas,Preventista (BEES),3545,1046,111,849,4702,5551,2025,,Planta Industrial (Matriz),Part-Time,masculino
32339,Julio Carlos Delgado Flores,Tecnologia (Tech),Analista de Datos,2230,1331,842,236,4403,4639,2025,,Planta Industrial,Part-Time,masculino
32340,Lucia Laura Mendoza Flores,Marketing,Trade Marketing,1877,1354,523,587,3754,4341,2025,,Oficinas Administrativas,,femenino
32341,Carmen Rosa Gonzalez Sanchez,Finanzas,Controller Financiero,1152,207,552,1389,1911,3300,2025,,Planta Industrial,,femenino
32342,Carmen Paula Morales Ramirez,Finanzas,Controller Financiero,2365,1369,453,1369,4187,5556,2025,,Planta Industrial,Part-Time,femenino
32343,Sergio Hugo Sanchez Torres,Marketing,Brand Manager,1330,1081,492,1096,2903,3999,2025,,Oficinas Administrativas,Part-Time,masculino
32344,Patricia Elena Lopez Rojas,Marketing,Trade Marketing,4666,1407,21,,6094,6094,2025,,Oficina Regional,Part-Time,femenino
32345,Maria Rosa Gonzalez Morales,Comercial / Ventas,Preventista (BEES),2210,884,861,1049,3955,5004,2025,,Oficinas Administrativas,Part-Time,femenino
32346,Laura Lucia Torres Gonzalez,Sostenibilidad,Coordinador de Agro,3637,178,908,702,4723,5425,2025,,Oficinas Administrativas,Full-Time,femenino
32347,Carmen Carmen Lopez Vargas,Comercial / Ventas,Preventista (BEES),4007,,806,201,4813,5014,2025,,Oficinas Administrativas,Full-Time,femenino
